incipient,intensification,mature,decay
2008-07-18 23:00:00,2008-07-21 14:00:00,2008-07-24 13:00:00,2008-07-25 18:00:00
2008-07-21 13:00:00,2008-07-24 12:00:00,2008-07-25 17:00:00,2008-07-28 04:00:00
