incipient,intensification,mature,decay,residual
1992-04-15 20:00:00,1992-04-17 05:00:00,1992-04-18 03:00:00,1992-04-18 16:00:00,1992-04-19 14:00:00
1992-04-17 04:00:00,1992-04-18 02:00:00,1992-04-18 15:00:00,1992-04-19 13:00:00,1992-04-20 04:00:00
