intensification,mature,decay,residual
1995-11-03 03:00:00,1995-11-06 18:00:00,1995-11-07 12:00:00,1995-11-08 09:00:00
1995-11-06 17:00:00,1995-11-07 11:00:00,1995-11-08 08:00:00,1995-11-11 01:00:00
