incipient,intensification,mature,decay
1988-04-21 04:00:00,1988-04-21 17:00:00,1988-04-21 22:00:00,1988-04-22 04:00:00
1988-04-21 16:00:00,1988-04-21 21:00:00,1988-04-22 03:00:00,1988-04-22 19:00:00
