intensification,mature,decay,residual
2009-12-08 00:00:00,2009-12-08 14:00:00,2009-12-08 22:00:00,2009-12-09 14:00:00
2009-12-08 13:00:00,2009-12-08 21:00:00,2009-12-09 13:00:00,2009-12-10 09:00:00
