intensification,mature,decay,residual
2008-03-19 08:00:00,2008-03-19 18:00:00,2008-03-20 01:00:00,2008-03-20 13:00:00
2008-03-19 17:00:00,2008-03-20 00:00:00,2008-03-20 12:00:00,2008-03-20 21:00:00
