intensification,mature,decay,incipient
2017-12-26 02:00:00,2017-12-27 05:00:00,2017-12-27 23:00:00,2017-12-29 10:00:00
2017-12-27 04:00:00,2017-12-27 22:00:00,2017-12-29 09:00:00,2017-12-31 06:00:00
