intensification,mature,decay,incipient
2003-06-10 10:00:00,2003-06-12 14:00:00,2003-06-13 18:00:00,2003-06-15 15:00:00
2003-06-12 13:00:00,2003-06-13 17:00:00,2003-06-15 14:00:00,2003-06-19 12:00:00
