intensification,mature,residual,intensification 2,residual 2
1985-09-01 19:00:00,1985-09-03 21:00:00,1985-09-04 11:00:00,1985-09-04 19:00:00,1985-09-07 01:00:00
1985-09-03 20:00:00,1985-09-04 10:00:00,1985-09-04 18:00:00,1985-09-07 00:00:00,1985-09-07 10:00:00
