incipient,intensification,mature,decay
2017-09-03 10:00:00,2017-09-04 01:00:00,2017-09-04 10:00:00,2017-09-04 17:00:00
2017-09-04 00:00:00,2017-09-04 09:00:00,2017-09-04 16:00:00,2017-09-05 09:00:00
