intensification,mature,decay,residual
2008-08-30 21:00:00,2008-08-31 20:00:00,2008-09-01 12:00:00,2008-09-02 20:00:00
2008-08-31 19:00:00,2008-09-01 11:00:00,2008-09-02 19:00:00,2008-09-04 18:00:00
