intensification,mature,decay,incipient
2008-09-07 00:00:00,2008-09-08 08:00:00,2008-09-08 19:00:00,2008-09-09 10:00:00
2008-09-08 07:00:00,2008-09-08 18:00:00,2008-09-09 09:00:00,2008-09-11 00:00:00
