intensification,decay,intensification 2,decay 2
2014-05-12 20:00:00,2014-05-13 09:00:00,2014-05-13 15:00:00,2014-05-13 20:00:00
2014-05-13 08:00:00,2014-05-13 14:00:00,2014-05-13 19:00:00,2014-05-14 03:00:00
