intensification,mature,decay,intensification 2,mature 2,decay 2
1998-11-11 01:00:00,1998-11-11 19:00:00,1998-11-12 03:00:00,1998-11-12 15:00:00,1998-11-13 11:00:00,1998-11-13 21:00:00
1998-11-11 18:00:00,1998-11-12 02:00:00,1998-11-12 14:00:00,1998-11-13 10:00:00,1998-11-13 20:00:00,1998-11-14 19:00:00
