intensification,mature,decay,incipient
1983-10-23 11:00:00,1983-10-24 06:00:00,1983-10-24 19:00:00,1983-10-25 16:00:00
1983-10-24 05:00:00,1983-10-24 18:00:00,1983-10-25 15:00:00,1983-10-26 17:00:00
