incipient,intensification,mature,decay,residual
2018-11-27 08:00:00,2018-11-28 09:00:00,2018-11-30 01:00:00,2018-11-30 16:00:00,2018-12-01 13:00:00
2018-11-28 08:00:00,2018-11-30 00:00:00,2018-11-30 15:00:00,2018-12-01 12:00:00,2018-12-02 06:00:00
