intensification,decay,intensification 2,decay 2
1999-05-22 22:00:00,1999-05-23 11:00:00,1999-05-23 17:00:00,1999-05-24 03:00:00
1999-05-23 06:00:00,1999-05-23 16:00:00,1999-05-23 22:00:00,1999-05-24 11:00:00
