incipient,intensification,mature,decay
2010-03-08 02:00:00,2010-03-08 10:00:00,2010-03-09 03:00:00,2010-03-09 08:00:00
2010-03-08 09:00:00,2010-03-09 02:00:00,2010-03-09 07:00:00,2010-03-09 15:00:00
