intensification,mature,decay,intensification 2,mature 2,decay 2
2011-07-23 00:00:00,2011-07-24 18:00:00,2011-07-25 11:00:00,2011-07-26 14:00:00,2011-07-28 00:00:00,2011-07-28 17:00:00
2011-07-24 17:00:00,2011-07-25 10:00:00,2011-07-26 13:00:00,2011-07-27 23:00:00,2011-07-28 16:00:00,2011-07-30 02:00:00
