intensification,mature,decay,incipient
1996-06-11 16:00:00,1996-06-13 12:00:00,1996-06-14 07:00:00,1996-06-15 20:00:00
1996-06-13 11:00:00,1996-06-14 06:00:00,1996-06-15 19:00:00,1996-06-17 14:00:00
