incipient,intensification,mature,decay,residual
1995-12-01 01:00:00,1995-12-01 20:00:00,1995-12-02 08:00:00,1995-12-02 16:00:00,1995-12-03 10:00:00
1995-12-01 19:00:00,1995-12-02 07:00:00,1995-12-02 15:00:00,1995-12-03 09:00:00,1995-12-04 13:00:00
