incipient,intensification,mature,decay
1997-08-18 18:00:00,1997-08-22 01:00:00,1997-08-24 17:00:00,1997-08-25 10:00:00
1997-08-22 00:00:00,1997-08-24 16:00:00,1997-08-25 09:00:00,1997-08-26 12:00:00
