intensification,decay,intensification 2,mature,decay 2
1997-03-02 12:00:00,1997-03-03 02:00:00,1997-03-03 13:00:00,1997-03-04 13:00:00,1997-03-04 22:00:00
1997-03-03 01:00:00,1997-03-03 12:00:00,1997-03-04 12:00:00,1997-03-04 21:00:00,1997-03-05 14:00:00
