intensification,mature,decay,residual
1985-06-07 21:00:00,1985-06-08 16:00:00,1985-06-09 10:00:00,1985-06-11 02:00:00
1985-06-08 15:00:00,1985-06-09 09:00:00,1985-06-11 01:00:00,1985-06-11 19:00:00
