intensification,mature,decay,incipient
2009-08-18 16:00:00,2009-08-21 22:00:00,2009-08-23 02:00:00,2009-08-25 08:00:00
2009-08-21 21:00:00,2009-08-23 01:00:00,2009-08-25 07:00:00,2009-08-28 16:00:00
