intensification,mature,incipient,intensification 2,mature 2,decay
2010-03-08 23:00:00,2010-03-10 10:00:00,2010-03-11 00:00:00,2010-03-11 11:00:00,2010-03-13 21:00:00,2010-03-14 17:00:00
2010-03-10 09:00:00,2010-03-10 23:00:00,2010-03-11 10:00:00,2010-03-13 20:00:00,2010-03-14 16:00:00,2010-03-16 05:00:00
