incipient,intensification,mature,decay
1999-05-13 18:00:00,1999-05-14 04:00:00,1999-05-14 09:00:00,1999-05-14 15:00:00
1999-05-14 03:00:00,1999-05-14 08:00:00,1999-05-14 14:00:00,1999-05-15 02:00:00
