intensification,mature,decay,intensification 2,decay 2
2012-04-06 18:00:00,2012-04-06 23:00:00,2012-04-07 04:00:00,2012-04-07 15:00:00,2012-04-08 03:00:00
2012-04-06 22:00:00,2012-04-07 03:00:00,2012-04-07 14:00:00,2012-04-07 22:00:00,2012-04-08 09:00:00
