incipient,intensification,mature,decay
2016-08-30 08:00:00,2016-08-30 21:00:00,2016-08-31 18:00:00,2016-09-01 02:00:00
2016-08-30 20:00:00,2016-08-31 17:00:00,2016-09-01 01:00:00,2016-09-01 19:00:00
