intensification,mature,decay,incipient
1998-06-10 05:00:00,1998-06-11 03:00:00,1998-06-11 10:00:00,1998-06-11 18:00:00
1998-06-11 02:00:00,1998-06-11 09:00:00,1998-06-11 17:00:00,1998-06-13 09:00:00
