incipient,intensification,mature,decay
1980-04-26 12:00:00,1980-04-28 21:00:00,1980-05-01 00:00:00,1980-05-01 13:00:00
1980-04-28 20:00:00,1980-04-30 23:00:00,1980-05-01 12:00:00,1980-05-02 12:00:00
