incipient,intensification,mature,decay,residual
2001-08-02 12:00:00,2001-08-03 03:00:00,2001-08-04 05:00:00,2001-08-04 13:00:00,2001-08-05 02:00:00
2001-08-03 02:00:00,2001-08-04 04:00:00,2001-08-04 12:00:00,2001-08-05 01:00:00,2001-08-06 08:00:00
