intensification,mature,decay,incipient
2019-02-14 19:00:00,2019-02-16 12:00:00,2019-02-17 01:00:00,2019-02-17 16:00:00
2019-02-16 11:00:00,2019-02-17 00:00:00,2019-02-17 15:00:00,2019-02-19 13:00:00
