intensification,mature,decay,intensification 2,mature 2,decay 2
2003-01-15 08:00:00,2003-01-16 08:00:00,2003-01-16 20:00:00,2003-01-17 11:00:00,2003-01-19 09:00:00,2003-01-20 00:00:00
2003-01-16 07:00:00,2003-01-16 19:00:00,2003-01-17 10:00:00,2003-01-19 08:00:00,2003-01-19 23:00:00,2003-01-21 04:00:00
