intensification,mature,decay,incipient
2006-07-20 18:00:00,2006-07-21 02:00:00,2006-07-21 08:00:00,2006-07-21 13:00:00
2006-07-21 01:00:00,2006-07-21 07:00:00,2006-07-21 12:00:00,2006-07-22 09:00:00
