intensification,mature,decay,residual
1991-12-29 13:00:00,1991-12-30 17:00:00,1991-12-31 08:00:00,1991-12-31 22:00:00
1991-12-30 16:00:00,1991-12-31 07:00:00,1991-12-31 21:00:00,1992-01-01 15:00:00
