decay,intensification,mature,decay 2
1989-03-22 06:00:00,1989-03-22 12:00:00,1989-03-22 18:00:00,1989-03-22 23:00:00
1989-03-22 11:00:00,1989-03-22 17:00:00,1989-03-22 22:00:00,1989-03-23 08:00:00
