intensification,incipient,intensification 2,mature,decay
2005-05-04 05:00:00,2005-05-05 06:00:00,2005-05-06 01:00:00,2005-05-08 22:00:00,2005-05-10 02:00:00
2005-05-05 05:00:00,2005-05-06 00:00:00,2005-05-08 21:00:00,2005-05-10 01:00:00,2005-05-12 12:00:00
