incipient,intensification,mature,decay
1981-06-30 12:00:00,1981-07-01 00:00:00,1981-07-03 17:00:00,1981-07-04 12:00:00
1981-06-30 23:00:00,1981-07-03 16:00:00,1981-07-04 11:00:00,1981-07-05 09:00:00
