intensification,mature,decay,incipient,residual
2000-09-06 19:00:00,2000-09-08 22:00:00,2000-09-10 06:00:00,2000-09-12 01:00:00,2000-09-18 20:00:00
2000-09-08 21:00:00,2000-09-10 05:00:00,2000-09-12 00:00:00,2000-09-18 19:00:00,2000-09-19 09:00:00
