intensification,mature,decay,residual
2008-08-04 02:00:00,2008-08-06 01:00:00,2008-08-06 22:00:00,2008-08-08 03:00:00
2008-08-06 00:00:00,2008-08-06 21:00:00,2008-08-08 02:00:00,2008-08-09 02:00:00
