intensification,mature,decay,intensification 2,mature 2,decay 2
1995-07-22 00:00:00,1995-07-22 11:00:00,1995-07-22 20:00:00,1995-07-23 14:00:00,1995-07-24 03:00:00,1995-07-24 12:00:00
1995-07-22 10:00:00,1995-07-22 19:00:00,1995-07-23 13:00:00,1995-07-24 02:00:00,1995-07-24 11:00:00,1995-07-25 05:00:00
