intensification,mature,decay,incipient
2016-03-01 12:00:00,2016-03-05 06:00:00,2016-03-06 08:00:00,2016-03-07 11:00:00
2016-03-05 05:00:00,2016-03-06 07:00:00,2016-03-07 10:00:00,2016-03-13 09:00:00
