incipient,intensification,mature,decay
1987-05-28 05:00:00,1987-05-29 02:00:00,1987-05-30 11:00:00,1987-05-30 20:00:00
1987-05-29 01:00:00,1987-05-30 10:00:00,1987-05-30 19:00:00,1987-05-31 09:00:00
