intensification,mature,decay,intensification 2,mature 2,decay 2
2000-01-23 02:00:00,2000-01-25 04:00:00,2000-01-26 11:00:00,2000-01-28 07:00:00,2000-01-31 00:00:00,2000-02-01 14:00:00
2000-01-25 03:00:00,2000-01-26 10:00:00,2000-01-28 06:00:00,2000-01-30 23:00:00,2000-02-01 13:00:00,2000-02-05 05:00:00
