intensification,mature,incipient,intensification 2,mature 2,decay
1995-12-20 18:00:00,1995-12-22 00:00:00,1995-12-22 15:00:00,1995-12-23 02:00:00,1995-12-24 19:00:00,1995-12-25 19:00:00
1995-12-21 23:00:00,1995-12-22 14:00:00,1995-12-23 01:00:00,1995-12-24 18:00:00,1995-12-25 18:00:00,1995-12-28 02:00:00
