intensification,mature,decay,intensification 2,mature 2,decay 2
2016-12-13 02:00:00,2016-12-13 09:00:00,2016-12-13 16:00:00,2016-12-14 04:00:00,2016-12-14 15:00:00,2016-12-14 20:00:00
2016-12-13 08:00:00,2016-12-13 15:00:00,2016-12-14 03:00:00,2016-12-14 14:00:00,2016-12-14 19:00:00,2016-12-15 07:00:00
