intensification,mature,decay,incipient
2016-12-04 06:00:00,2016-12-05 19:00:00,2016-12-06 12:00:00,2016-12-07 07:00:00
2016-12-05 18:00:00,2016-12-06 11:00:00,2016-12-07 06:00:00,2016-12-11 07:00:00
