intensification,mature,decay,residual
1991-12-04 07:00:00,1991-12-05 17:00:00,1991-12-06 12:00:00,1991-12-07 20:00:00
1991-12-05 16:00:00,1991-12-06 11:00:00,1991-12-07 19:00:00,1991-12-08 18:00:00
