intensification,mature,decay,intensification 2,mature 2,decay 2
1985-01-24 06:00:00,1985-01-24 15:00:00,1985-01-25 00:00:00,1985-01-25 19:00:00,1985-01-26 04:00:00,1985-01-26 10:00:00
1985-01-24 14:00:00,1985-01-24 23:00:00,1985-01-25 18:00:00,1985-01-26 03:00:00,1985-01-26 09:00:00,1985-01-26 23:00:00
