intensification,mature,decay,residual
1984-10-05 23:00:00,1984-10-08 00:00:00,1984-10-09 12:00:00,1984-10-12 18:00:00
1984-10-07 23:00:00,1984-10-09 11:00:00,1984-10-12 17:00:00,1984-10-14 20:00:00
