intensification,mature,decay,residual
2019-05-24 17:00:00,2019-05-26 09:00:00,2019-05-26 20:00:00,2019-05-27 10:00:00
2019-05-26 08:00:00,2019-05-26 19:00:00,2019-05-27 09:00:00,2019-05-28 05:00:00
