intensification,mature,decay,residual
1983-03-23 22:00:00,1983-03-24 04:00:00,1983-03-24 10:00:00,1983-03-24 19:00:00
1983-03-24 03:00:00,1983-03-24 09:00:00,1983-03-24 18:00:00,1983-03-25 09:00:00
