intensification,mature,decay,incipient
1983-04-27 03:00:00,1983-04-28 10:00:00,1983-04-29 04:00:00,1983-04-30 13:00:00
1983-04-28 09:00:00,1983-04-29 03:00:00,1983-04-30 12:00:00,1983-05-02 19:00:00
