intensification,mature,decay,residual
2014-05-25 21:00:00,2014-05-27 08:00:00,2014-05-27 22:00:00,2014-05-28 18:00:00
2014-05-27 07:00:00,2014-05-27 21:00:00,2014-05-28 17:00:00,2014-05-31 23:00:00
