intensification,mature,decay,intensification 2,mature 2,decay 2
2017-06-04 17:00:00,2017-06-05 19:00:00,2017-06-06 02:00:00,2017-06-06 10:00:00,2017-06-06 21:00:00,2017-06-07 05:00:00
2017-06-05 18:00:00,2017-06-06 01:00:00,2017-06-06 09:00:00,2017-06-06 20:00:00,2017-06-07 04:00:00,2017-06-07 20:00:00
