intensification,mature,decay,incipient
1984-10-13 10:00:00,1984-10-13 17:00:00,1984-10-13 23:00:00,1984-10-14 11:00:00
1984-10-13 16:00:00,1984-10-13 22:00:00,1984-10-14 10:00:00,1984-10-15 11:00:00
