intensification,mature,intensification 2,mature 2
1995-03-12 00:00:00,1995-03-12 13:00:00,1995-03-12 22:00:00,1995-03-13 19:00:00
1995-03-12 12:00:00,1995-03-12 17:00:00,1995-03-13 18:00:00,1995-03-13 23:00:00
