intensification,mature,decay,incipient
1980-06-24 00:00:00,1980-06-25 16:00:00,1980-06-26 03:00:00,1980-06-26 19:00:00
1980-06-25 15:00:00,1980-06-26 02:00:00,1980-06-26 18:00:00,1980-06-28 06:00:00
