incipient,intensification,mature,decay
1997-05-23 12:00:00,1997-05-23 18:00:00,1997-05-27 15:00:00,1997-05-28 12:00:00
1997-05-23 17:00:00,1997-05-27 14:00:00,1997-05-28 11:00:00,1997-05-29 20:00:00
