intensification,mature,incipient,intensification 2,mature 2,decay
1996-11-14 23:00:00,1996-11-17 23:00:00,1996-11-18 19:00:00,1996-11-19 15:00:00,1996-11-21 20:00:00,1996-11-22 22:00:00
1996-11-17 22:00:00,1996-11-18 18:00:00,1996-11-19 14:00:00,1996-11-21 19:00:00,1996-11-22 21:00:00,1996-11-25 06:00:00
