incipient,intensification,mature,decay
2002-07-24 21:00:00,2002-07-26 05:00:00,2002-07-29,2002-07-30 01:00:00
2002-07-26 04:00:00,2002-07-28 23:00:00,2002-07-30,2002-07-31 21:00:00
