incipient,intensification,mature,decay
2011-01-08 04:00:00,2011-01-08 19:00:00,2011-01-09 07:00:00,2011-01-09 12:00:00
2011-01-08 18:00:00,2011-01-09 06:00:00,2011-01-09 11:00:00,2011-01-09 22:00:00
