intensification,mature,decay,residual
2009-08-04 13:00:00,2009-08-05 10:00:00,2009-08-05 18:00:00,2009-08-06 11:00:00
2009-08-05 09:00:00,2009-08-05 17:00:00,2009-08-06 10:00:00,2009-08-07 06:00:00
